,Cause (X),Outcome (Y),Confounders (Z),Mediators (M),P(Y=1|do(X=1)),P(Y=1|do(X=0)),Total Effect (TE),Direct Effect (NDE),Indirect Effect (NIE),NDE/TE,NIE/TE,Causality,Refutation TE_DataSubset,Refutation TE_RandCommCause,Refutation TE_Placebo
0,ndhB_95644,ndhB_95650,[],[],0.9665792922673656,0.5543766578249337,0.4125249343832218,,,,,Yes,NA,NA,NA
1,ndhB_96579,ndhB_96439,[],['ndhB_96698'],0.9665792922673656,0.5543766578249337,-0.0646865994932993,-0.050528737073180285,-0.01415786242011902,78.11314471463972,21.886855285360287,No,"Refute: Use a subset of data
Estimated effect:-0.0646865994932993
New effect:-0.06323679207407965
p value:1.0
","Refute: Add a random common cause
Estimated effect:-0.0646865994932993
New effect:-0.06469440829346793
p value:1.0
","Refute: Use a Placebo Treatment
Estimated effect:-0.0646865994932993
New effect:2.3532332374127317e-05
p value:1.0
"
2,ndhB_96579,ndhB_96698,[],[],0.9439775910364145,0.3474576271186441,0.5996480167095457,,,,,Yes,NA,NA,NA
3,ndhB_96579,ndhB_97016,[],['ndhB_96698'],0.976594048351873,0.7072856522009064,0.26204865878895056,0.11598951443687536,0.1460591443520752,44.26258656423474,55.73741343576526,Yes,"Refute: Use a subset of data
Estimated effect:0.26204865878895056
New effect:0.2620487190261912
p value:0.88
","Refute: Add a random common cause
Estimated effect:0.26204865878895056
New effect:0.26205546333268015
p value:0.8600000000000001
","Refute: Use a Placebo Treatment
Estimated effect:0.26204865878895056
New effect:0.0001406079493220025
p value:0.94
"
4,ndhB_96579,ndhB_94622,[],['ndhB_96698'],0.06228413056363291,0.04878531730069022,0.06449803701626534,0.04754045497754107,0.01695758203872427,73.70837497822167,26.29162502177833,Yes,"Refute: Use a subset of data
Estimated effect:0.06449803701626534
New effect:0.06460036901813888
p value:0.94
","Refute: Add a random common cause
Estimated effect:0.06449803701626534
New effect:0.06450657655152008
p value:1.0
","Refute: Use a Placebo Treatment
Estimated effect:0.06449803701626534
New effect:0.000143861162791444
p value:0.94
"
5,ndhB_96579,ndhB_96457,[],['ndhB_96698'],0.02199383154107346,0.023282426055114554,0.004071015529812299,0.011984146934882882,-0.007913131405070583,294.3773328085396,-194.3773328085396,Yes,"Refute: Use a subset of data
Estimated effect:0.004071015529812299
New effect:0.004431789540066835
p value:0.86
","Refute: Add a random common cause
Estimated effect:0.004071015529812299
New effect:0.003999076570104715
p value:0.78
","Refute: Use a Placebo Treatment
Estimated effect:0.004071015529812299
New effect:-0.0003475654725548086
p value:0.88
"
6,ndhB_96698,ndhB_96439,['ndhB_96579'],['ndhB_97016'],0.02199383154107346,0.023282426055114554,-0.023610288078342347,-0.02390673929938973,0.00029645122104738405,101.25560188026388,-1.255601880263875,No,"Refute: Use a subset of data
Estimated effect:-0.023610288078342347
New effect:-0.022244005151826753
p value:0.94
","Refute: Add a random common cause
Estimated effect:-0.023610288078342347
New effect:-0.023543293933293546
p value:0.8200000000000001
","Refute: Use a Placebo Treatment
Estimated effect:-0.023610288078342347
New effect:0.000999781780201788
p value:0.8600000000000001
"
7,ndhB_96698,ndhB_97016,['ndhB_96579'],[],0.9868456839268231,0.7780480309998385,0.24357479768472667,,,,,Yes,NA,NA,NA
8,ndhB_96698,ndhB_94622,['ndhB_96579'],['ndhB_97016'],0.06279798351528175,0.05233221056915311,0.028279226423153656,0.012939083085945121,0.015340143337208534,45.75472784273628,54.24527215726371,Yes,"Refute: Use a subset of data
Estimated effect:0.028279226423153656
New effect:0.028540694085208384
p value:0.86
","Refute: Add a random common cause
Estimated effect:0.028279226423153656
New effect:0.02832937131658457
p value:0.96
","Refute: Use a Placebo Treatment
Estimated effect:0.028279226423153656
New effect:0.0007563182201789348
p value:0.9199999999999999
"
9,ndhB_96698,ndhB_96457,['ndhB_96579'],['ndhB_97016'],0.06279798351528175,0.05233221056915311,-0.013196293799973498,-0.015061962215374312,0.0018656684154008138,114.13782114645372,-14.137821146453716,No,"Refute: Use a subset of data
Estimated effect:-0.013196293799973498
New effect:-0.01365751944378512
p value:0.98
","Refute: Add a random common cause
Estimated effect:-0.013196293799973498
New effect:-0.013177670035354267
p value:0.9199999999999999
","Refute: Use a Placebo Treatment
Estimated effect:-0.013196293799973498
New effect:-0.0007802466312135728
p value:0.84
"
10,ndhB_97016,ndhB_96439,['ndhB_96579'],[],0.018161917317462146,0.04996367826457253,0.0012170849524058662,,,,,Yes,NA,NA,NA
11,ndhB_97016,ndhB_94622,[],[],0.06345733041575492,0.013333333333333334,0.06297918948521182,,,,,Yes,NA,NA,NA
12,ndhB_97016,ndhB_96457,[],[],0.02188183807439825,0.02666666666666667,0.007659529775390224,,,,,Yes,NA,NA,NA
