,editing_1_38,editing_1_39,editing_1_40,editing_1_41,editing_1_42
0,1,0,0,1,1
1,1,0,1,1,0
2,0,0,0,0,0
3,1,1,1,1,0
4,0,1,1,1,0
5,1,0,0,1,0
6,0,0,0,1,0
7,1,1,0,1,0
8,0,0,0,0,0
9,0,0,0,0,0
10,1,1,1,0,0
11,0,0,0,0,0
12,0,0,1,0,1
13,1,1,1,1,0
14,1,1,1,1,0
15,1,1,0,0,0
16,1,0,1,1,0
17,1,1,0,0,1
18,0,0,1,1,0
19,0,0,0,1,0
20,1,1,1,1,0
21,1,1,1,1,0
22,0,0,0,1,0
23,1,1,1,1,1
24,1,0,0,1,0
25,0,0,1,1,0
26,0,0,1,1,0
27,0,1,1,1,0
28,1,1,1,1,0
29,0,1,1,0,1
30,1,1,1,1,0
31,0,0,1,1,1
32,1,1,1,1,1
33,1,1,1,1,0
34,0,0,1,1,0
35,1,1,0,1,0
36,0,1,1,1,1
37,0,1,1,1,1
38,1,1,1,1,1
39,0,1,1,1,1
40,1,1,1,1,0
41,1,1,1,1,0
42,0,0,1,1,0
43,1,1,1,1,0
44,1,1,1,1,1
45,0,0,0,1,0
46,0,0,0,0,0
47,0,0,1,1,0
48,1,1,1,1,0
49,1,1,1,1,0
50,0,0,0,1,0
51,0,0,1,1,0
52,0,0,0,0,0
53,1,0,1,1,0
54,1,0,1,1,0
55,0,1,0,1,0
56,1,1,1,1,0
57,1,1,1,0,0
58,1,1,1,1,1
59,1,1,1,1,1
60,0,1,1,1,0
61,0,0,0,1,1
62,1,1,1,0,1
63,1,1,0,1,0
64,0,0,1,1,0
65,0,0,0,0,0
66,1,1,0,1,1
67,1,1,1,1,0
68,0,0,1,1,0
69,1,1,1,0,1
70,0,0,1,1,0
71,0,1,1,1,1
72,0,0,0,1,0
73,0,0,1,1,0
74,1,1,1,1,0
75,0,1,1,1,1
76,1,1,1,1,0
77,1,0,1,1,0
78,1,0,1,1,0
79,0,0,0,1,0
80,1,1,1,1,0
81,1,1,1,1,0
82,0,0,1,0,0
83,1,1,1,0,1
84,0,1,1,0,0
85,1,1,1,1,0
86,0,0,0,1,0
87,0,0,1,1,0
88,0,0,1,1,1
89,0,1,1,1,0
90,0,0,0,1,0
91,1,1,1,1,0
92,1,1,1,1,0
93,1,1,1,1,0
94,0,0,0,0,0
95,0,0,0,1,0
96,0,0,0,0,0
97,1,1,1,1,0
98,0,1,1,1,0
99,1,1,1,1,0
100,0,1,0,1,0
101,1,1,1,1,1
102,0,1,1,1,1
103,0,0,0,0,0
104,0,0,1,0,0
105,1,1,1,1,1
106,1,0,0,1,0
107,0,0,1,1,1
108,0,0,0,0,0
109,1,1,1,0,0
110,1,1,1,1,0
111,1,1,0,1,0
112,1,1,1,1,0
113,0,0,1,0,1
114,0,0,1,1,0
115,0,1,1,1,0
116,0,1,1,1,0
117,1,1,1,0,0
118,1,0,1,0,1
119,1,1,0,1,1
120,1,1,1,1,1
121,0,0,0,1,0
122,1,1,0,1,1
123,0,0,1,1,0
124,1,1,1,1,0
125,1,1,1,1,1
126,1,1,1,1,1
127,0,0,1,1,0
128,1,1,1,1,0
129,1,1,1,1,0
130,1,1,1,1,0
131,0,1,1,1,0
132,1,1,1,1,0
133,1,1,1,1,0
134,1,1,1,1,1
135,1,1,1,1,0
136,0,1,1,1,1
137,1,0,1,1,0
138,1,0,1,1,0
139,1,1,1,1,0
140,1,1,1,1,0
141,0,0,1,1,1
142,1,1,1,1,0
143,0,0,0,0,0
144,0,1,1,0,0
145,1,0,0,1,0
146,1,1,0,1,1
