,Cause (X),Outcome (Y),Confounders (Z),Mediators (M),P(Y=1|do(X=1)),P(Y=1|do(X=0)),Total Effect (TE),Direct Effect (NDE),Indirect Effect (NIE),NDE/TE,NIE/TE,Causality,Refutation TE_DataSubset,Refutation TE_RandCommCause,Refutation TE_Placebo
0,ndhB_94999,ndhB_95225,['ndhB_95608'],[],0.8736860243101424,0.7418662415703448,0.15277915129697905,,,,,Yes,NA,NA,NA
1,ndhB_94999,ndhB_96698,['ndhB_95608'],[],0.22666567333171728,0.08770181116150344,0.12592697094511782,,,,,Yes,NA,NA,NA
2,ndhB_94999,ndhB_97016,"['ndhB_95650', 'ndhB_95608']",['ndhB_96698'],0.22666567333171728,0.08770181116150344,-0.010297936261375651,-0.010041908361723893,-0.000256027899651759,97.51379409278304,2.486205907216962,No,"Refute: Use a subset of data
Estimated effect:-0.010297936261375651
New effect:-0.009899450737406707
p value:0.8999999999999999
","Refute: Add a random common cause
Estimated effect:-0.010297936261375651
New effect:-0.010352526726445536
p value:0.78
","Refute: Use a Placebo Treatment
Estimated effect:-0.010297936261375651
New effect:0.0012467736312152533
p value:0.9199999999999999
"
3,ndhB_94999,ndhB_96457,['ndhB_95608'],['ndhB_96698'],0.22666567333171728,0.08770181116150344,-0.00839898411772231,-0.014249949357853207,0.005850965240130897,169.66277299876117,-69.66277299876118,No,"Refute: Use a subset of data
Estimated effect:-0.00839898411772231
New effect:-0.008210225068638374
p value:0.94
","Refute: Add a random common cause
Estimated effect:-0.00839898411772231
New effect:-0.008332312021908069
p value:0.9199999999999999
","Refute: Use a Placebo Treatment
Estimated effect:-0.00839898411772231
New effect:-0.00045581761252890305
p value:0.96
"
4,ndhB_96698,ndhB_97016,['ndhB_95644'],[],0.22666567333171728,0.08770181116150344,-0.0020390584725258343,,,,,No,NA,NA,NA
5,ndhB_96698,ndhB_96457,[],[],0.06,0.011976047904191617,0.046463161912160156,,,,,Yes,NA,NA,NA
6,ndhB_95608,ndhB_94999,[],['ndhB_95644'],0.886402676300879,0.6587510645650181,0.2253354050757549,0.18979932117319448,0.035536083902560404,84.22969355809238,15.77030644190762,Yes,"Refute: Use a subset of data
Estimated effect:0.2253354050757549
New effect:0.22324030499073275
p value:0.88
","Refute: Add a random common cause
Estimated effect:0.2253354050757549
New effect:0.22531722004183036
p value:0.8799999999999999
","Refute: Use a Placebo Treatment
Estimated effect:0.2253354050757549
New effect:-0.0009589801549700905
p value:0.92
"
7,ndhB_95608,ndhB_95225,[],['ndhB_95644'],0.8674569450495979,0.7188207343541325,0.14532270729954078,0.14156111694908055,0.0037615903504602355,97.41156050533328,2.5884394946667237,Yes,"Refute: Use a subset of data
Estimated effect:0.14532270729954078
New effect:0.1432888295888073
p value:0.86
","Refute: Add a random common cause
Estimated effect:0.14532270729954078
New effect:0.1453291531386559
p value:0.96
","Refute: Use a Placebo Treatment
Estimated effect:0.14532270729954078
New effect:0.0009244074851695805
p value:0.8999999999999999
"
8,ndhB_95608,ndhB_96698,[],['ndhB_95644'],0.22781255890505644,0.07834199141553008,0.1567423520959584,0.10435022689175084,0.052392125204207565,66.57436582798447,33.42563417201552,Yes,"Refute: Use a subset of data
Estimated effect:0.1567423520959584
New effect:0.15777384032053987
p value:0.8999999999999999
","Refute: Add a random common cause
Estimated effect:0.1567423520959584
New effect:0.15674313553893707
p value:1.0
","Refute: Use a Placebo Treatment
Estimated effect:0.1567423520959584
New effect:0.003372280355125845
p value:0.8200000000000001
"
9,ndhB_95608,ndhB_95644,[],[],0.8672985781990521,0.28837209302325584,0.5813493057991708,,,,,Yes,NA,NA,NA
10,ndhB_95608,ndhB_95650,[],['ndhB_95644'],0.9350301487939584,0.48750964797476426,0.44768014970007025,0.2639047966340572,0.18377535306601306,58.94940769897079,41.050592301029205,Yes,"Refute: Use a subset of data
Estimated effect:0.44768014970007025
New effect:0.44933897390147864
p value:0.8799999999999999
","Refute: Add a random common cause
Estimated effect:0.44768014970007025
New effect:0.4476803036970105
p value:0.96
","Refute: Use a Placebo Treatment
Estimated effect:0.44768014970007025
New effect:-0.0010970882445206832
p value:0.94
"
11,ndhB_95608,ndhB_96419,[],['ndhB_95644'],0.8502365977623523,0.7572121998937181,0.15871384892986895,0.06567049468046372,0.09304335424940523,41.376663172904095,58.623336827095905,Yes,"Refute: Use a subset of data
Estimated effect:0.15871384892986895
New effect:0.15909309158298346
p value:1.0
","Refute: Add a random common cause
Estimated effect:0.15871384892986895
New effect:0.1586770544248145
p value:0.96
","Refute: Use a Placebo Treatment
Estimated effect:0.15871384892986895
New effect:0.003231407523775721
p value:0.78
"
12,ndhB_95608,ndhB_96579,[],['ndhB_96419'],0.9395145542519775,0.9260438717333118,0.07397290027232917,0.051229586564599916,0.022743313707729248,69.2545329113765,30.745467088623503,Yes,"Refute: Use a subset of data
Estimated effect:0.07397290027232917
New effect:0.07529316831294505
p value:0.8999999999999999
","Refute: Add a random common cause
Estimated effect:0.07397290027232917
New effect:0.0739963089404314
p value:0.94
","Refute: Use a Placebo Treatment
Estimated effect:0.07397290027232917
New effect:0.0007673020036768141
p value:0.96
"
