,Cause (X),Outcome (Y),Confounders (Z),Mediators (M),P(Y=1|do(X=1)),P(Y=1|do(X=0)),Total Effect (TE),Direct Effect (NDE),Indirect Effect (NIE),NDE/TE,NIE/TE,Causality,Refutation TE_DataSubset,Refutation TE_RandCommCause,Refutation TE_Placebo
0,ndhB_94622,ndhB_94999,[],[],0.7787667678812106,0.4617504953367234,0.31701627254448717,,,,,Yes,NA,NA,NA
1,ndhB_96698,ndhB_94999,[],['ndhB_97016'],0.5034022124234955,0.26285719380522293,0.26327353068715786,0.19035044227404152,0.07292308841311633,72.30139762900463,27.698602370995367,Yes,"Refute: Use a subset of data
Estimated effect:0.26327353068715786
New effect:0.26099280994272545
p value:0.82
","Refute: Add a random common cause
Estimated effect:0.26327353068715786
New effect:0.2632017417897131
p value:0.98
","Refute: Use a Placebo Treatment
Estimated effect:0.26327353068715786
New effect:-0.0017356527837201108
p value:1.0
"
2,ndhB_96698,ndhB_97016,[],[],0.9878331402085747,0.6949152542372882,0.29125621478290153,,,,,Yes,NA,NA,NA
3,ndhB_97016,ndhB_94999,['ndhB_96698'],[],0.4888475622612654,0.1593445269999508,0.25042137174259665,,,,,Yes,NA,NA,NA
4,ndhB_96579,ndhB_94999,[],['ndhB_97016'],0.48992630101630924,0.34643639518953795,0.26231704074013007,0.19671811614924445,0.06559892459088563,74.99250357285305,25.007496427146947,Yes,"Refute: Use a subset of data
Estimated effect:0.26231704074013007
New effect:0.2622148224590834
p value:1.0
","Refute: Add a random common cause
Estimated effect:0.26231704074013007
New effect:0.26235359254587004
p value:0.92
","Refute: Use a Placebo Treatment
Estimated effect:0.26231704074013007
New effect:-0.0038479057559871878
p value:0.8
"
5,ndhB_96579,ndhB_96698,[],[],0.9439775910364145,0.3474576271186441,0.5996480167095457,,,,,Yes,NA,NA,NA
6,ndhB_96579,ndhB_97016,[],['ndhB_96698'],0.9714231746079425,0.7966918078374808,0.26204865878895056,0.08739744724005419,0.17465121154889637,33.351610210087955,66.64838978991204,Yes,"Refute: Use a subset of data
Estimated effect:0.26204865878895056
New effect:0.2603465243474517
p value:0.92
","Refute: Add a random common cause
Estimated effect:0.26204865878895056
New effect:0.26204287725316555
p value:0.8200000000000001
","Refute: Use a Placebo Treatment
Estimated effect:0.26204865878895056
New effect:-0.00031154787624403937
p value:0.94
"
7,ndhB_95650,ndhB_95644,[],[],0.8758907363420427,0.2328767123287671,0.6459229466786082,,,,,Yes,NA,NA,NA
8,ndhB_95608,ndhB_95650,[],[],0.9354265402843602,0.4883720930232558,0.44768014970007025,,,,,Yes,NA,NA,NA
9,ndhB_95608,ndhB_95644,[],['ndhB_95650'],0.8343690961658301,0.5469068170794366,0.5813493057991708,0.29218242433538094,0.2891668814637898,50.259357226499624,49.740642773500376,Yes,"Refute: Use a subset of data
Estimated effect:0.5813493057991708
New effect:0.5796062324049281
p value:0.88
","Refute: Add a random common cause
Estimated effect:0.5813493057991708
New effect:0.5814226547979549
p value:0.96
","Refute: Use a Placebo Treatment
Estimated effect:0.5813493057991708
New effect:0.0006289104165300474
p value:0.9199999999999999
"
