,Cause (X),Outcome (Y),Confounders (Z),Mediators (M),P(Y=1|do(X=1)),P(Y=1|do(X=0)),Total Effect (TE),Direct Effect (NDE),Indirect Effect (NIE),NDE/TE,NIE/TE,Causality,Refutation TE_DataSubset,Refutation TE_RandCommCause,Refutation TE_Placebo
0,ndhD_116281,ndhD_116290,[],[],0.9577527423658464,0.402970297029703,0.5551107156979168,,,,,Yes,NA,NA,NA
1,ndhD_116281,ndhD_116494,[],['ndhD_116290'],0.9699419771462876,0.7104308974917749,0.25888620572784493,0.14587735454985895,0.11300885117798597,56.3480600056432,43.651939994356795,Yes,"Refute: Use a subset of data
Estimated effect:0.25888620572784493
New effect:0.25935589730651865
p value:0.96
","Refute: Add a random common cause
Estimated effect:0.25888620572784493
New effect:0.25889700395635623
p value:0.8200000000000001
","Refute: Use a Placebo Treatment
Estimated effect:0.25888620572784493
New effect:0.000499828943177465
p value:0.98
"
2,ndhD_116281,ndhD_116785,[],['ndhD_116494'],0.9676863677155868,0.9145889373127887,0.13767440546799548,0.08495436835720532,0.05272003711079015,61.706726147406,38.293273852594,Yes,"Refute: Use a subset of data
Estimated effect:0.13767440546799548
New effect:0.13818383215306906
p value:0.8400000000000001
","Refute: Add a random common cause
Estimated effect:0.13767440546799548
New effect:0.13767812647436017
p value:0.98
","Refute: Use a Placebo Treatment
Estimated effect:0.13767440546799548
New effect:0.00011291181994654397
p value:0.96
"
3,ndhD_116281,ndhD_117166,[],['ndhD_116785'],0.1790619724262573,0.17826150582460482,0.08692029599503097,0.084550722379607,0.0023695736154239803,97.27385464085461,2.7261453591453986,Yes,"Refute: Use a subset of data
Estimated effect:0.08692029599503097
New effect:0.08623049913790692
p value:0.94
","Refute: Add a random common cause
Estimated effect:0.08692029599503097
New effect:0.08692426904687003
p value:0.9199999999999999
","Refute: Use a Placebo Treatment
Estimated effect:0.08692029599503097
New effect:-0.00010237413899701203
p value:0.94
"
4,ndhD_116290,ndhD_116494,['ndhD_116281'],[],0.9605225848241589,0.770999109716832,0.20357894016854783,,,,,Yes,NA,NA,NA
5,ndhD_116290,ndhD_116785,['ndhD_116281'],['ndhD_116494'],0.9657591069260794,0.9269815351067764,0.08642084656706617,0.04496367718839349,0.04145716937867268,52.02873956285513,47.97126043714486,Yes,"Refute: Use a subset of data
Estimated effect:0.08642084656706617
New effect:0.0856454768626096
p value:0.86
","Refute: Add a random common cause
Estimated effect:0.08642084656706617
New effect:0.08643306154579702
p value:1.0
","Refute: Use a Placebo Treatment
Estimated effect:0.08642084656706617
New effect:0.0005878961747509959
p value:0.9199999999999999
"
6,ndhD_116290,ndhD_117166,['ndhD_116281'],['ndhD_116785'],0.17903291814089975,0.17844832956666817,0.08570842849370279,0.08422100200254189,0.0014874264911609036,98.26455050302295,1.7354494969770546,Yes,"Refute: Use a subset of data
Estimated effect:0.08570842849370279
New effect:0.0855163180110907
p value:0.9
","Refute: Add a random common cause
Estimated effect:0.08570842849370279
New effect:0.08574454883108583
p value:0.96
","Refute: Use a Placebo Treatment
Estimated effect:0.08570842849370279
New effect:0.0003518136410295941
p value:1.0
"
7,ndhD_116494,ndhD_116785,[],[],0.9738364087028367,0.7692307692307693,0.20364173889671155,,,,,Yes,NA,NA,NA
8,ndhD_116494,ndhD_117166,[],['ndhD_116785'],0.1791546869394031,0.17607016891913918,0.08456628367935344,0.08106131781552131,0.003504965863832125,95.85536254954543,4.144637450454559,Yes,"Refute: Use a subset of data
Estimated effect:0.08456628367935344
New effect:0.08520175720967976
p value:0.8999999999999999
","Refute: Add a random common cause
Estimated effect:0.08456628367935344
New effect:0.08455523338204811
p value:0.88
","Refute: Use a Placebo Treatment
Estimated effect:0.08456628367935344
New effect:0.001969344740214126
p value:0.78
"
9,ndhD_116785,ndhD_117166,[],[],0.17954911433172302,0.16447368421052633,0.017211431619182288,,,,,Yes,NA,NA,NA
